1388.800,-102.08
1389.000,-97.67
1389.200,-96.67
1389.400,-98.50
1389.600,-97.83
1389.800,-97.08
1390.000,-98.67
1390.200,-97.08
1390.400,-95.83
1390.600,-97.75
1390.800,-100.00
1391.000,-100.50
1391.200,-96.83
1391.400,-89.75
1391.600,-76.50
1391.800,-71.50
1392.000,-64.50
1392.200,-58.75
1392.400,-53.75
1392.600,-50.33
1392.800,-44.92
1393.000,-49.17
1393.200,-52.33
1393.400,-51.83
1393.600,-47.00
1393.800,-50.25
1394.000,-49.50
1394.200,-50.83
1394.400,-50.50
1394.600,-48.50
1394.800,-54.92
1395.000,-49.00
1395.200,-52.50
1395.400,-48.50
1395.600,-47.50
1395.800,-49.00
1396.000,-49.50
1396.200,-49.00
1396.400,-52.92
1396.600,-48.00
1396.800,-50.00
1397.000,-49.00
1397.200,-49.00
1397.400,-52.25
1397.600,-48.42
1397.800,-51.00
1398.000,-53.58
1398.200,-50.83
1398.400,-51.08
1398.600,-49.50
1398.800,-51.58
1399.000,-52.08
1399.200,-52.42
1399.400,-53.00
1399.600,-53.33
1399.800,-54.17
1400.000,-53.50
1400.200,-53.92
1400.400,-53.42
1400.600,-53.00
1400.800,-52.33
1401.000,-51.08
1401.200,-51.50
1401.400,-48.00
1401.600,-51.58
1401.800,-52.83
1402.000,-54.42
1402.200,-50.50
1402.400,-51.42
1402.600,-47.00
1402.800,-48.00
1403.000,-50.00
1403.200,-50.50
1403.400,-49.33
1403.600,-54.75
1403.800,-49.00
1404.000,-51.67
1404.200,-52.17
1404.400,-49.92
1404.600,-50.00
1404.800,-52.00
1405.000,-51.33
1405.200,-49.00
1405.400,-48.50
1405.600,-49.50
1405.800,-52.67
1406.000,-50.00
1406.200,-56.75
1406.400,-48.50
1406.600,-51.50
1406.800,-54.50
1407.000,-49.42
1407.200,-47.83
1407.400,-49.92
1407.600,-51.17
1407.800,-55.42
1408.000,-60.92
1408.200,-67.42
1408.400,-73.25
1408.600,-81.67
1408.800,-89.33
1409.000,-91.50
1409.200,-93.00
1409.400,-94.50
1409.600,-97.00
1409.800,-97.50
1410.000,-98.25
1410.200,-101.08
1410.400,-100.92
1410.600,-101.50
1410.800,-100.17
1411.000,-102.58
